No,Tgl_Iklan,url,harga,Kota,LT,LB,KT,KM,KTP,KMP,carport,garasi,listrik,surat,judul,deskripsi
12,24-03-2021,https://www.rumah123.com/properti/bekasi/hos8071256/,798000000,Bekasi,70,90,3,2,0,0,1,0,2200,SHM,rumah baru bebas banjir di Jati asih Bekasi,"Cluster baru siap huni Terbatas Hanya 5 Unit di Jatiasih Bekasi



Spesifikasi :
luas bangunan 90 m2
luas tanah 70 m2
3 kamar tidur
2 kamar mandi
taman
1 carport
listrik 2200

Lokasi strategis
10 menit tol jatiasih
10 menit kawasan Comersil ( KFC,MCD,JCO,Pizza Hut,Dll )
5 Menit Kota Cinema Mall
20 menit transpark cibubur
15 menit jatiwarna
5 menit ke puri gading
200 Meter ke Puskesmas"
13,25-03-2021,https://www.rumah123.com/properti/bekasi/hos7802298/,1000000000,Bekasi,80,104,2,1,0,0,1,0,2200,SHM,Rumah Harapan Baru Bekasi Barat,"Rumah Dijual Harapan Baru 1

LT : 104
LB : 80
KM : 1
KT : 2
Hadap : Selatan
listrik : 2.200
Air : Sumur tanah ( jet pup )

Lokasi stategis :
Dekat stasiun cakung
Dekat terminal pulo gebang
Dekat pasar tradisional
Dekat pintu tol JOOR Pulo Gebang dan Bintara
BEBAS BANJIR

Harga : Rp 1.000.000.000,- ( Nego )"
14,25-03-2021,https://www.rumah123.com/properti/bekasi/hos8074489/,2300000000,Bekasi,144,111,3,2,0,0,1,0,2200,SHM,Rumah Siap Huni Sudah Renovasi di Cluster Burgundy Summarecon Bekasi,"Dijual rumah hooek 2 lantai hadap Selatan siap huni di Cluster Burgundy Summarecon Bekasi lokasi strategis bebas banjir dekat dengan Summarecon Mall Bekasi, Pasar Modern Sinpasa, Ruko Sinpasa dan Emerald, Sekolah Kristen BPK Penabur, Sekolah Islam Al Azhar menyusul Universitas Binus, Apartemen Springlake, Hotel Haris, Bursa Mobil, hanya 10 menit menuju akses Tol Bekasi Barat, RS. Mitra keluarga Bekasi Barat dan RS. Hermina. Cluster Burgundy yang dilengkapi dengan Fasilitas seperti Club House, Kolam Renang, Panel Surya, Arena Bermain Anak, Keamanan 24 Jam, Internet Broadband, Panic Button, TV Cable dan Shuttle Bus."
15,26-03-2021,https://www.rumah123.com/properti/bekasi/hos7945961/,1050000000,Bekasi,89,80,3,2,0,0,2,0,2200,SHM,PROMO RAMADHAN CLUSTER BARU di JATIBENING BEKASI,"PROMO RAMADHAN CLUSTER BARU 2 LANTAI KOKOH, MINIMALIS MODERN

Luas tanah mulai 89
Luas bangunan 80
KT 3/ KM 2
PLN 2.200
Taman depan samping
Carport 2 mobil
Surat-surat lengkap SHM IMB
Jalan 2 mobil

Dekat tol Jatibening,sentra kota
Dekat SPBU
Dekat RS Masmitra
Kuliner banyak, perkantoran dll
Dekat klinik 24jam
Dekat Superindo,Giant
Dekat Curug, Kalimalang, LRT, tol Becakayu
Kawasan ramai tapi aman,nyaman, asri

Mulai harga Rp 1,050,000,000 (sebelumnya Rp 1.075 M)

Jika Cash FREE BIAYA2
Dan BONUS AC 2 unit atau KANOPI

Jika KPR FREE BPHTB dan BONUS AC 2 unit atau KANOPI

Info lebih lanjut hubungi:
Vina(et)
HP/WA: 085777477753

MePo: SPBU Kemang sari"
16,26-03-2021,https://www.rumah123.com/properti/bekasi/hos7815660/,1767000000,Bekasi,119,120,3,2,0,0,1,0,2200,SHM,"Pemilik Langsung, Rumah Summarecon Bekasi, Cluster Palm, Renov","Pemilik Langsung, Pindah Kerja, Dijual Summarecon Bekasi, Cluster Palm, Full Renov, Bisa dibantu KPR.

LT : 119
LB : 120
KT : 3
KM : 2
Posisi : Hadap Selatan,
Listrik : 2,200
IPL : 400rb an - 500rb an (termasuk air),
Air bersih : WTP Summarecon,

Hub Pemilik : +62 812-8320-7018

Fasilitas Kawasan Elite :
- 24 Jam Security Cluster, Club Couse, Kolam Renang, Jogging Track, Kawasan asri dan hijau, Pasar Modern Sinpasa, Akses Toll Bekasi Barat, Toll Becakayu, Stasiun Bekasi, Mall Summarecon, Mall Metropolitan,

- Pusat Bisnis, Pusat Kuliner, Sekolah Al-Azhar, BPK Penabur, Universitas Binus, RS Mitra Keluarga, RS.Awal Bros, RS.Hermina, Sarana Ibadah, Serta Fasilitas Pemerintahan Kota Bekasi lainnya."
17,26-03-2021,https://www.rumah123.com/properti/bekasi/hos2279368/,700000000,Bekasi,92,82,3,2,0,0,2,0,2200,SHM,MODERN HUNIAN NYAMAN DENGAN FASILITAS LENGKAP DAN HARGA TERJANGKAU,"Glasshouse Residence Cluster Mewah 2 lantai Harga terjangkau. 5 Menit Tol Jatiasih. Spesifikasi :

Pondasi : Cakar Ayam

Dinding : Pasangan Hebel Plester/Finishing Catylac

Lantai : Granite UK 60x60

Atap : Rangka baja ringan

Plafond : Gypsum

Genteng : Plat Beton

Kusen : Alumunium

Daun pintu : Rangka Kayu + HPL

Sanitari : Kloset wastafel American Standard

Garasi : 2 Mobil



Selling Point :

1. Dekat Pintu Tol Jatibening,

2 .Dekat Pntu Tol Jatiasih

3. Dekat Pintu Tol JOR

4. Dekat Pintu Tol BECAKAYU

5. Dekat SPBU Jatiasih

6. Dekat Minimarket Supermarket

7 .Dekat Dengan Mall Grand Metropolitan

8. Dekat Dengan Mall Metropolitan

9. Dekat Dengan Mega Bekasi

10.Dekat Dengan Bekasi Cyber Park

11. Dekat Dengan pasar JatiAsih

12.Dekat Dengan RS Cikunir RS Hermina

13 Fasilitas Keamanan 24 Jam

14.Fasilitas Lengkap dalam perumahan



Hubungi Segera untuk Jadwal Survey:

Toro ( Marketing Office )

0813 8063 5895

0857-17753240

Instagram : galahumaproperti"
18,30-03-2021,https://www.rumah123.com/properti/bekasi/hos8100171/,1214000000,Bekasi,92,100,3,3,0,0,1,0,2200,SHM,"Townhouse Exclusive Murah dekat Mabes TNI Cilangkap akses tol Jatiwarna Bekasi siap huni Rp 1,2 Milyar","Bismillaah,                                                                        
                                                                        
Rumah 2 lantai konsep Town house dalam cluster private exclusive siap huni. Bangunan kokoh spek PREMIUM. TIDAK BANJIR di timur Jakarta                                                                        
                                                                        
Harga Normal Rp 1.213.600.000                                                                        
DISKON Rp 50 Jt                                                                        
Tersedia skema cash bertahap tenor 2 tahun                                                                        
                                                                        
BONUS :                                                                        
- Canopy carport                                                                        
- Water Heater dan AC                                                                        
- Kitchen set                                                                        
- Taman dan Lampu Taman                                                                        
- IMB                                                                        
- Instalasi Listrik, Air (pompa, water torn)                                                                        
                                                                        
Fasilitas :                                                                        
- One gate, pos keamanan, CCTV lingkungan                                                                        
- Taman bermain                                                                        
- Area parkir tamu                                                                        
- Jalan cor beton lebar                                                                        
                                                                        
Akses :                                                                        
0+ Km ke SDIT Al Ikhlas Pondok Melati                                                                        
1+ Km ke Superindo Ujung Aspal                                                                        
1+ Km ke Samsat Pondok Melati                                                                        
2+ Km Sekolah Alam Bekasi                                                                        
2+ Km ke pintu tol Jatiwarna                                                                        
2+ Km ke Sekolah ACS Jakarta                                                                        
3 Km ke Sekolah Islam Nailufar                                                                        
3 Km ke Univ. Mercu Buana                                                                        
3+ Km ke Sekolah Cikal Amri                                                                        
3+ Km ke RS. Jatisampurna                                                                        
4+ Km ke RS. Jatirahayu                                                                        
6+ Km ke Mabes TNI Cilangkap                                                                        
6+ Km ke RS. Adhyaksa                                                                        
                                                                        
Harga belum termasuk biaya-biaya pajak                                                                        "
19,30-03-2021,https://www.rumah123.com/properti/bekasi/hos8087885/,2500000000,Bekasi,144,157,3,3,1,1,0,0,2200,HGB,"Rumah Mewah Full Furnished di Cluster Asera, Harapan Indah, Bekasi","Rumah Full Furnished di Cluster Asera One South Harapan Indah, Bekasi.

Spesifikasi:

Bangunan 2 lantai

Lt 144 m2; Lb 157 m2

KT 3+1, KM 3+1

Listrik 2200 watt, Air Pam

Hadap Utara

SHM

Fasilitas yg ditinggal:

- AC

- Water Heater

- Kulkas

- Microwafe

- Kitchen Set

Rp 2.5 M

Bisa KPR. Please contact Mutia for more info."
20,30-03-2021,https://www.rumah123.com/properti/bekasi/hos8047715/,875000000,Bekasi,90,53,2,1,0,0,1,0,1300,SHM,Rumah rapi di Cluster Harmoni Harapan Indah Bekasi,"Dijual Rumah Cluster Harmoni Harapan Indah Bekasi
Depan taman
Rumah rapi

Untuk survey rumah bisa menghubungi:
Jimmy
ERA Sky
082211751132"
21,30-03-2021,https://www.rumah123.com/properti/bekasi/hos8096568/,780000000,Bekasi,90,90,2,2,0,0,1,0,3500,HGB,"Rumah Villa Indah Permai, Bekasi","Dijual Rumah Villa Indah Permai, Bekasi

Lt. 90
Lb.90
Kt.2
Km.2
Listrik 3500watt
PAM
Toren 2
Harga 780 jt

#ylmel

Hub: IING 0882-1094-7399"
22,30-03-2021,https://www.rumah123.com/properti/bekasi/hos8101356/,375000000,Bekasi,72,36,2,1,0,0,1,0,1300,SHM,Cukup 10 jt punya rumah modern tanah luas bangunan bata merah 100%bebas banjir,"Rumah baru desain Cantik Masa kini di Cimuning Bekasi Timur



Launcing Harga Perdana 375 jt an*

Unit Terbatas

Hanya 36 unit



Promo Terbatas Khusus NUP

Dapatkan NUP ( Nomor Urut Pembelian ) Sekarang

Gratis BPHTB

Gratis AJB Balik Nama

Gratis Biaya KPR*



Promo KPR

Total DP Hanya 10jt an*

Cicilan Mulai 2,7 jt an*



Hanya 10 menit ke pintu tol Grand wisata

Ke Sekolah Negri dan Swasta hanya 5 menit

Cukup jalan kaki ke mesjid

Sarana lapangan badminton dan Taman Hijau



Luas Tanah 72m

Luas bangunan 36m

Spek material terkini high quality

rangka baja/gypsum/closet duduk/genteng plat beton

lantai Granit 60x60



Spesifikasi :

2 kamar tidur

1 kamar mandi

Taman 3x4 meter

1 carport

listrik 1300

mesin air + toren

taman dalam cluster

row jalan lebar

gerbang cluster One Gate system"
23,30-03-2021,https://www.rumah123.com/properti/bekasi/hos8096535/,435000000,Bekasi,60,40,2,1,0,0,1,0,1300,SHM,special promo menyambut ramadhan rumah minimalis siap huni di wisma asri 2,"Bebas Banjir
SPECIAL PROMO Menyambut Ramadhan 1442H

Rumah Minimalis *Wisma Asri 2*
Teluk Pucung, Bekasi Utara - Kota Bekasi

Spesifikasi :
- SHM
- LT 60 M2
- LB +/- 40 M2
- Ruang tamu
- 2 Kamar tidur
- 1 Kamar Mandi
- Tempat cuci jemur
- Dapur
- Air sumur jetpump + Torn air 500lt
- Listrik 1300 watt (abudemen)
- Carport 1 mbl
- Jalan dpn rmh bs 2 mbl
- *Harga Normal Rp. 500jt*
- *Harga promo Cash Rp. 435jt*
- *Harga promo KPR Rp. 450jt*
- Pajak masing & Notaris pembeli

Keunggulan Utama :
* Rmh bener2 siap huni
* Rmh Model Minimalis
* Sangat cocok untuk Kaum Milenial
* Bangunan baru dari nol
* Jalan depan rmh luas bs 2 mbl
* Tata ruang apik shg tata udara bagus
* Tinggi plafond 4m shg lbh adem
* Rmh 1 lantai tp konstruksi 2 lantai
* Septik tank kedalam 1,5m
* Ada bak kontrol dibawah cucian piring untuk kontrol jika mampet

Keunggulan Tambahan
- Dekat ke RS Awal Bross
- Dekat pusat kuliner (KFC d"
24,30-03-2021,https://www.rumah123.com/properti/bekasi/hos8101317/,1400000000,Bekasi,108,129,3,3,1,1,1,0,2200,SHM,Turun Harga Rumah Townhouse Mewah Sisa 2 Caman Jatibening BU,"Townhouse mewah dan murah, Berlokasi strategis di perbatasan Jakarta dan Bekasi. Bertempat di jl.caman Jatibening. Selangkah ke TOL becak kayu.
Spesifikasi :
SHM + IMB

Type :
Kav C
Lt/Lb : 85m/115m
Harga : 1,3M

Kav E
Lt/Lb : 108m/129m
Harga : 1,4M

KT : 3+1
KM : 3+1
PLN : 2.200 watt
Air : jetpump

Selling point :
Dalam cluster
Dekat tol becak kayu
Dekat tol pondok kelapa
Dekat pusat perbelanjaan
Bebas banjir"
25,30-03-2021,https://www.rumah123.com/properti/bekasi/hos8101304/,400000000,Bekasi,60,36,2,1,0,0,1,0,1300,SHM,Rumah Cluster Baru Paling Laku Jatimurni Pondok Melati Bekasi dkt tol dan Jaktim,"Miliki Hunian Nyaman Asri Jatimurni Pondok Melati Dekat Jakarta Timur Cicil Developer sampai 5 Tahun Tanpa Bunga.

Unit Terbatas : 23 Unit
SOLD 16 UNIT

Spesifikasi :
L Bangunan : 36 m2
L Tanah : 60 m2
K Tidur : 2
K Mandi : 1
Taman Depan dan Belakang

Legalitas : Clear bisa KPR
Kondisi Bangunan : Baru
Tahun Dibangun : 2021
Bangunan Menghadap : -
Jumlah Lantai : 1
Carport : 1
Listrik : 1300 watt
Sumber Air : Jet Pump
Akses Jalan : 2 mobil (4 Meter)
Tidak Banjir : Ya

Lokasi Sangat Strategis :
One Gate System
15 menit ke Tol Jatiwarna dan Tol Cibubur

Dekat dengan :
Sarana Ibadah
Pintu Tol Jatiwarna
Pusat Perbelanjaan
Sekolahan dan Universitas

Harga Cash: 400.000.000 belum termasuk biaya biaya.
Harga KPR : 550.000.000 All in.

NB:
KPR ke Developer : 5 tahun (DP 100-150Jt, sisanya dibagi 60 bulan TANPA BUNGA) indent 6 Bulan
Cash Keras Indent 4 Bulan

For Real Buyer Only, Calo nyamar jadi Buyer nanti dulu ya"
26,30-03-2021,https://www.rumah123.com/properti/bekasi/hos8101287/,687000000,Bekasi,72,65,3,2,0,0,1,0,2200,SHM,Rumah Cluster baru harga perdana Jatiwarna strategis Bekasi,"Rumah baru 2 lantai
Dp Flexible
Free AJB
Unit terbatas!
Selangkah Ke Jalan Raya

Cluster Vila Bunda 2 :
Type 2 lantai
LT mulai 71,5-83
LB 65
Harga Mulai 687,000,000

Kamar tidur 3
Kamar mandi 2
Listrik 2,200 watt

Masih harga perdana

Selling point :
40 meter ke jalan raya
Jalan dalam cluster 6 meter
Dekat sekolah negeri dana swasta
Dekat ke jakarta timur
Dekat akses toll jatiwarna
Dekat ke jalan raya alternatif cibubur"
27,30-03-2021,https://www.rumah123.com/properti/bekasi/hos8101238/,415000000,Bekasi,64,36,2,1,0,0,1,0,1300,SHM,Rumah minimalis,"Rumah cluster sumber jaya Tambun selatan.lingkungan aman dan nyaman.bebas banjir

Total 14 unit
Ready stok 1 unit
8 unit sudah sold, sisa 5 unit.


Spesifikasi :
Luas tanah : 64,65,67,69,75,84,119
Luas bangunan : 36 & 45 m
Lantai : 1
Kamar tidur : 2
Kamar mandi : 1
Listrik : 1300watt
Sumber air : jetpump
SHM+IMB

Struktur bangunan:
-pondasi batu kali
-Dinding: bata hebel finishing cat
-Lantai : granit 60x60
-Rangka atap baja ringan
-penutup atap genteng beton
-kusen alumunium
-kloset duduk dan jongkok.

KEUNGGULAN:
Dekat sekolah SD, SMP, SMA
Dekat tempat ibadah
Dekat kolam renang suka ria
Dekat Alfamart, Indomaret, Superindo
Dekat pasar mini Patra Mangun jaya

Selling point:
-10 mnt dari stasiun Tambun
-20 mnt dr tol timur Bekasi
minat hubungi
Lekha
Hp/wa/tele 082299127215"
28,30-03-2021,https://www.rumah123.com/properti/bekasi/hos8101115/,2300000000,Bekasi,189,150,4,3,1,1,1,0,2200,SHM,Rumah Cantik 2 Lantai Siap Huni di Jalan Caman Jakasempurna Bekasi,"Dijual Rumah 2 Lantai Siap Huni di Jalan Caman, Jakasampurna Bekasi Barat

Luas tanah 189 m
Luas bangunan 150 m
Kamar tidur 4+1
Kamar mandi 3+1
Carport 2 mobil
SHM

Harga: 2.3M nego

- Lingkungan aman dan nyaman
- Sangat strategis
- Bisa KPR (kami siap bantu)
- Dekat dengan Akses Toll
- Bebas Banjir
- Dekat dengan pusat perbelanjaan

Hubungi
Titis Era Sky
08113200521"
